"ID","l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rank","CoexistRank","Asy","cor","Rare"
249101,15,17,2.50,0.90,0.30,1.00,0.00,16.00,0.88,1.10,1.13,5.59,2,0,-4.49,35.92,0.00
249102,16,17,2.50,0.90,0.30,1.00,0.26,15.91,0.94,1.10,1.06,5.71,2,0,-4.61,36.07,0.01
249103,17,17,2.50,0.90,0.30,1.00,0.71,15.78,1.00,1.10,1.00,5.82,2,0,-4.71,35.56,0.04
249104,18,17,2.50,0.90,0.30,1.00,1.16,15.65,1.05,1.10,0.94,5.92,2,1,-4.81,34.92,0.06
249105,19,17,2.50,0.90,0.30,1.00,1.61,15.51,1.11,1.10,0.89,6.01,2,1,-4.90,34.12,0.09
249106,20,17,2.50,0.90,0.30,1.00,2.06,15.38,1.17,1.10,0.85,6.09,2,1,-4.99,33.23,0.11
249112,15,18,2.50,0.90,0.30,1.00,0.00,17.00,0.83,1.10,1.20,5.59,2,0,-4.49,38.16,0.00
249113,16,18,2.50,0.90,0.30,1.00,0.00,17.00,0.88,1.10,1.12,5.71,2,0,-4.60,39.18,0.00
249114,17,18,2.50,0.90,0.30,1.00,0.31,16.90,0.94,1.10,1.05,5.82,2,0,-4.71,39.15,0.01
249115,18,18,2.50,0.90,0.30,1.00,0.76,16.77,1.00,1.10,1.00,5.92,2,0,-4.81,38.58,0.04
249116,19,18,2.50,0.90,0.30,1.00,1.21,16.63,1.05,1.10,0.94,6.01,2,1,-4.90,37.85,0.06
249117,20,18,2.50,0.90,0.30,1.00,1.65,16.50,1.11,1.10,0.90,6.09,2,1,-4.99,37.05,0.09
249123,15,19,2.50,0.90,0.30,1.00,0.00,18.00,0.78,1.10,1.26,5.59,2,0,-4.49,40.41,0.00
249124,16,19,2.50,0.90,0.30,1.00,0.00,18.00,0.84,1.10,1.18,5.71,2,0,-4.60,41.49,0.00
249125,17,19,2.50,0.90,0.30,1.00,0.00,18.00,0.89,1.10,1.11,5.82,2,0,-4.71,42.48,0.00
249126,18,19,2.50,0.90,0.30,1.00,0.35,17.89,0.94,1.10,1.05,5.92,2,0,-4.81,42.27,0.01
249127,19,19,2.50,0.90,0.30,1.00,0.80,17.75,1.00,1.10,1.00,6.01,2,0,-4.90,41.61,0.04
249128,20,19,2.50,0.90,0.30,1.00,1.25,17.62,1.05,1.10,0.95,6.09,2,1,-4.99,40.84,0.06
249134,15,20,2.50,0.90,0.30,1.00,0.00,19.00,0.75,1.10,1.33,5.59,2,0,-4.49,42.65,0.00
249135,16,20,2.50,0.90,0.30,1.00,0.00,19.00,0.80,1.10,1.25,5.71,2,0,-4.60,43.79,0.00
249136,17,20,2.50,0.90,0.30,1.00,0.00,19.00,0.85,1.10,1.17,5.82,2,0,-4.71,44.84,0.00
